Source:,http://hfrportal.moh.go.tz/index.php?r=facilities/BedCapacity,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Bed Capacity for operating facility As of 05-08-2021 16:19:42,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Facility Number,Facility Name,Latitude,Longitude,Common Name,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Date Opened,Official Phone Number,Available Bed
111357-0,Nyanzumla,-2.82541,32.59576,Nyanzumula,Mwanza Region,Sengerema District,Sengerema DC,Kagunga,Nyanzumula,Dispensary,,Public,07-01-15,,1
106799-0,Nyanzwa,-7.35318,36.28377,Nyanzwa,Iringa Region,Kilolo District,Kilolo DC,Nyanzwa,Nyanzwa,Dispensary,,Public,02-03-75,,3
106800-6,Nyarero,-1.39041,34.5401,NYARERO,Mara Region,Tarime District,Tarime DC,Nyarero,Soroneta,Health Center,,Private,,,30
106801-4,Nyarombo,-1.25655,34.007,Nyarombo,Mara Region,Rorya District,Rorya DC,Nyamtinga,Nyarombo,Health Center,,Private,01-01-70,2.55754E+11,16
106802-2,Nyarubanda,-4.561014,29.751549,Nyarubanda Dispensary,Kigoma Region,Kigoma District,Kigoma DC,Mkigo,Nyarubanda,Dispensary,,Public,,,
109618-9,Nyarubele,-3.11788,32.69814,Nyalubele,Geita Region,Nyang'hwale District,Nyang'hwale DC,Nyijundu,Nyalubele,Dispensary,,Public,09-12-16,,3
106803-0,Nyaruboza,-4.55731,29.79658,Zahanati ya Nyaruboza,Kigoma Region,Buhigwe District,Buhigwe DC,Muhinda,Nyaruboza,Dispensary,,Public,01-01-70,,1
114864-2,Nyaruguguna,-6.45678,38.2145,,Geita Region,Nyang'hwale District,Nyang'hwale DC,Nyang'hwale,Kaseme,Dispensary,Foundation,Public,01-01-70,,
106805-5,Nyarugunga,-3.70885,30.47518,Kumshabure Dispensary,Kigoma Region,Kibondo District,Kibondo DC,Kizazi,Nyarugusu,Dispensary,,Public,01-01-70,2.55283E+11,
112861-0,Nyarugusu,-3.115195,32.237273,,Geita Region,Geita District,Geita DC,Nyarugusu,Nyarugusu,Level IA2 (Dispensary Laboratory),,Private,,,
106808-9,Nyarugusu,-3.66214,30.48874,Nyarugusu Dispensary,Kigoma Region,Kibondo District,Kibondo DC,Kizazi,Nyarugusu,Dispensary,,Public,01-01-82,2.55283E+11,
110229-2,Nyarugusu,-4.182815,30.316668,Zahanati,Kigoma Region,Kasulu District,Kasulu DC,Herushingo,Nyarugusu,Dispensary,,Public,01-01-70,,2
106806-3,Nyarugusu,-3.1197,32.23169,Nyarugusu,Geita Region,Geita District,Geita DC,Nyarugusu,Nyarugusu,Health Center,,Public,07-01-06,2.25283E+11,20
106809-7,Nyarugusu Refugee Camp,-4.223486,30.390491,Kambini,Kigoma Region,Kasulu District,Kasulu DC,Kitagata,Makere,Health Center,,Private,07-01-96,,216
115071-3,Nyarukoru,,,,Mara Region,Butiama District,Butiama DC,Bisumwa,,Dispensary,Foundation,Public,02-02-21,,
106682-8,Nyarulama,-2.83232,30.48463,Nyarulama,Kagera Region,Ngara District,Ngara DC,Kibogora,Nyarulama,Dispensary,,Public,01-01-70,,1
110581-6,Nyarutanga,-7.441071,37.563348,Nyarutanga,Morogoro Region,Morogoro District,Morogoro DC,Kisaki,Nyarutanga,Dispensary,,Public,,,2
114638-0,Nyarutembo,,,NYARUTEMBO,Geita Region,Chato District,Chato DC,Nyarutembo,Nyarutembo,Health Center,,Public,01-01-70,,10
113931-0,Nyaruyeye,,,Nyaruyeye,Geita Region,Geita District,Geita DC,Nyaruyeye,Nyaruyeye,Dispensary,,Public,12-01-20,2.25283E+11,4
106812-1,Nyaruyoba,-3.74167,30.59157,Nyaruyoba Dispensary,Kigoma Region,Kibondo District,Kibondo DC,Busagara,Kasaka,Dispensary,,Public,11-08-63,2.55283E+11,
106813-9,Nyarwana,-1.42075,34.4409,NYARWANA,Mara Region,Tarime District,Tarime DC,Kibasuka,Nyarwana,Health Center,,Public,,684374474,8
106814-7,Nyasa,-4.32617,32.26162,Nyasa,Tabora Region,Kaliua District,Kaliua DC,Seleli,Nyasa,Dispensary,,Public,,,1
106815-4,Nyasa,-5.67319,38.00814,,Tanga Region,Handeni District,Handeni DC,Kang'ata,Nyasa,Dispensary,Foundation,Public,,,
113199-4,Nyasa,,,,Tabora Region,Nzega District,Nzega TC,Nzega Mjini,,Level IA2 (Dispensary Laboratory),,Private,,,
113726-4,Nyasa,-11.29864,34.86522,Nyasa District Hospital,Ruvuma Region,Nyasa District,Nyasa DC,Kilosa,Kilosa,District Hospital,,Public,,,
113388-3,Nyasaka,,,,Mwanza Region,Ilemela District,Ilemela MC,Nyakato,,Level IA2 (Dispensary Laboratory),,Private,,,
106816-2,Nyasaka,-2.53096,32.94143,Nyasaka,Mwanza Region,Ilemela District,Ilemela MC,Nyakato,Buzuruga Kusini,Dispensary,,Private,01-01-70,,10
106818-8,Nyasamba,-3.34793,33.3654,Nyasamba dispensary,Shinyanga Region,Kishapu District,Kishapu DC,Bubiki,Nyasamba,Dispensary,,Public,01-09-13,627992411,2
106819-6,Nyasaricho,-1.31751,34.4658,NYASARICO DISPENSARY,Mara Region,Tarime District,Tarime DC,Binagi,Nyasaricho,Dispensary,,Public,10-02-13,,1
106820-4,Nyasato,-3.41528,32.21159,Nyasato,Geita Region,Mbogwe District,Mbogwe DC,Nyasato,Nyasato,Dispensary,,Public,01-01-70,,1
106821-2,Nyasato,-2.72549,33.74733,Nyasato,Mwanza Region,Magu District,Magu DC,Jinjimili,Nyasato,Dispensary,,Public,01-01-70,282530062,3
110889-3,Nyasaungu,,,,Mara Region,Musoma District,Musoma DC,Mugango,Kwibara,Dispensary,Foundation,Public,,,
106822-0,Nyasembe,-2.87122,31.947,Nyansembe,Geita Region,Geita District,Geita DC,Nyakagomba,Nyakagomba,Dispensary,,Private,09-06-97,,7
112352-0,Nyasenga,-2.69461,32.74113,Nyasenga,Mwanza Region,Sengerema District,Sengerema DC,Nyampande,Nyasenga,Dispensary,,Public,07-02-18,282590162,
115197-6,Nyashana,-2.5284,32.377359,,Mwanza Region,Sengerema District,Buchosa DC,Kalebezo,Nyashana,Dispensary,Foundation,Public,01-01-70,,
106823-8,Nyashana JWTZ,Not Set,Not Set,Nyashana JWTZ,Mwanza Region,Nyamagana District,Nyamagana MC,Mbugani,Nyashana,Medical Clinic,,Public,,737066794,2
114565-5,Nyashigwe,,,Nyashigwe,Mwanza Region,Magu District,Magu DC,Kongolo,Nyashigwe,Dispensary,Foundation,Public,,,
106824-6,Nyashimba,-3.25865,33.91482,Nyashimba,Simiyu Region,Maswa District,Maswa DC,Ng'wigwa,Nyasimba,Dispensary,,Public,,,1
106825-3,Nyashimbi,-3.88676,33.03897,nyashimbi dispensary,Shinyanga Region,Shinyanga District,Shinyanga DC,Puni,Nyashimbi,Dispensary,,Public,,,6
106826-1,Nyasho,-1.504591,33.805533,Nyasho clinic,Mara Region,Musoma District,Musoma MC,Kitaji,Kitaji 'C',Health Center,,Public,07-01-73,028-2622560/2622550,24
114929-3,Nyasigu,,,,Mwanza Region,Sengerema District,Sengerema DC,Igalula,Nyasigu,Dispensary,Foundation,Public,01-01-70,,
106827-9,Nyasirori,-1.86136,33.95733,Nyasirori,Mara Region,Butiama District,Butiama DC,Masaba,Nyasirori,Dispensary,,Public,01-01-70,,4
106828-7,Nyasoko,-1.38736,34.1841,Nyasoko,Mara Region,Rorya District,Rorya DC,Nyathorogo,Nyasoko,Dispensary,,Public,07-01-86,,3
106829-5,Nyasoro,-1.37366,34.2355,Nyasoro,Mara Region,Rorya District,Rorya DC,Bukwe,Nyasoro,Dispensary,,Public,01-01-70,,24
112458-5,Nyasubi,,,Nyasubi,Shinyanga Region,Kahama District,Kahama TC,Nyasubi,Nyasubi,Health Center,,Public,02-09-20,,
114750-3,Nyatanga,,,Nyatanga,Pwani Region,Mkuranga District,Mkuranga DC,Panzuo,Nyatanga,Dispensary,,Public,07-01-20,621070652,2
109422-6,Nyatwali,-2.157779,33.835528,NYATWALI,Mara Region,Bunda District,Bunda TC,Nyatwali,Mashariki,Health Center,,Public,01-01-70,,6
114411-2,Nyauha,-5.443648,33.279953,Nyahua,Tabora Region,Sikonge District,Sikonge DC,Igigwa,Nyahua,Health Center,Foundation,Public,,,
106833-7,Nyaumata,-2.73737,33.96858,,Simiyu Region,Bariadi District,Bariadi TC,Somanda,Nyaumata,Dispensary,,Public,07-01-05,,2
114091-2,Nyave,-9.132199999999999,35.29255,Nyave disp,Njombe Region,Njombe District,Njombe DC,Ikondo,Nyave,Dispensary,Foundation,Public,,,
106834-5,Nyawa,-2.45944,34.13062,NYAWA,Simiyu Region,Bariadi District,Bariadi DC,Gilya,Nyawa,Dispensary,,Public,09-10-62,,3
111747-2,Nyawegete,-8.321260000000001,35.87275,,Iringa Region,Kilolo District,Kilolo DC,Masisiwe,Nyawegete,Dispensary,Foundation,Public,,,
112878-4,Nyawilimilwa,-2.765876,32.113028,,Geita Region,Geita District,Geita DC,Nyawilimilwa,Nyawilimilwa,Level IA2 (Dispensary Laboratory),,Private,,,
106753-7,Nyawilimilwa,-2.76543,32.11621,Nyawilimilwa,Geita Region,Geita District,Geita DC,Kagu,Lwemo,Dispensary,,Public,,282520026,
112555-8,Nyayali,,,,Mara Region,Musoma District,Musoma MC,Nyasho,,Level IA2 (Dispensary Laboratory),,Private,,,
106835-2,Nyegezi,-2.59804,32.89635,Nyegezi,Mwanza Region,Nyamagana District,Nyamagana MC,Mkolani,Sweya,Dispensary,,Public,,,
106837-8,Nyegezi Fisheries,-2.58618,32.89908,Nyegezi fisheries,Mwanza Region,Nyamagana District,Nyamagana MC,Mkolani,Sweya,Dispensary,,Public,,,
110894-3,Nyegina,-1.54658,33.7211,,Mara Region,Musoma District,Musoma DC,Nyegina,Nyegina,Dispensary,,Public,01-01-70,,2
106839-4,Nyehunge,-2.52668,32.3019,,Mwanza Region,Sengerema District,Buchosa DC,Nyehunge,Nyehunge,Health Center,,Public,07-01-52,754454415,16
106841-0,Nyenge,-4.621993,30.265184,Nyenge Rural Health Centre Hospital,Kigoma Region,Kasulu District,Kasulu DC,Kurugongo,Nyenge,Health Center,,Public,01-01-70,,18
106842-8,Nyengedi,-10.25299,39.42719,Nyengedi,Lindi Region,Lindi District,Lindi DC,Nyengedi,Nyegedi,Dispensary,,Public,01-01-70,,3
106843-6,Nyenjele,-8.94449,32.3725,Nyenjele,Songwe Region,Momba District,Momba DC,Ikana,Nyenjele,Dispensary,,Public,01-01-14,,
106844-4,Nyenze,-3.49227,33.67398,Nyenze,Shinyanga Region,Kishapu District,Kishapu DC,Mwadui Luhumbo,Mwadui-Lohumbo,Dispensary,,Public,07-01-09,,2
106845-1,Nyeregete,-8.618517000000001,34.346029,Nyeregete Dispensary,Mbeya Region,Mbarali District,Mbarali DC,Rujewa,Tembo A,Dispensary,,Public,,,
106847-7,Nyerere,-1.841237,34.663731,Mugumu DDH,Mara Region,Serengeti District,Serengeti DC,Mugumu,Stendi Mpya,Hospital at District Level,,Private,01-01-70,732985744,128
112574-9,Nyerere,,,,Mara Region,Tarime District,Tarime DC,Komaswa,,Level IA2 (Dispensary Laboratory),,Private,,,
106846-9,Nyerere,-2.516867,32.972258,,Mwanza Region,Ilemela District,Ilemela MC,Buswelu,Buswelu 'A',Dispensary,,Public,01-01-70,,3
120307-4,Nyerere,- 01.42766,034.18909,Nyerere Dispensary,Mara Region,Tarime District,Tarime DC,Komaswa,Surubu,Dispensary,,Private,17-03-21,625351925,
106849-3,Nyiboko,-1.545566,34.503623,Nyiboko Dispensary,Mara Region,Serengeti District,Serengeti DC,Kisaka,Nyiboko,Dispensary,,Public,06-06-13,,1
106850-1,Nyichoka,-1.910871,34.588818,Nyichoka Dispensary,Mara Region,Serengeti District,Serengeti DC,Kyambahi,Nyichoka,Dispensary,,Public,09-01-88,,1
112406-4,Nyigo,-8.775119999999999,34.8791,Nyigo,Iringa Region,Mufindi District,Mufindi DC,Itandula,Nyigo,Dispensary,,Public,11-01-18,,2
106852-7,Nyijundu,-3.0916,32.66296,Nyijundu,Geita Region,Nyang'hwale District,Nyang'hwale DC,Nyijundu,Nyijundu,Dispensary,,Public,01-01-70,,4
106853-5,Nyimbili,-9.20505,33.0566,Nyimbili Dispensary,Songwe Region,Mbozi District,Mbozi DC,Nyimbili,Nyimbili,Dispensary,,Public,07-01-72,,1
106854-3,Nyingwa,-7.11,37.681,,Morogoro Region,Morogoro District,Morogoro DC,Kibungo Juu,Nyingwa,Dispensary,,Public,,,
114974-9,Nyirongo,,,,Mara Region,Serengeti District,Serengeti DC,Nyamatare,Nyamatare,Dispensary,Foundation,Public,01-06-15,,
114917-8,Nyitundu,,,,Mwanza Region,Sengerema District,Sengerema DC,Busisi,Nyitundu,Dispensary,Foundation,Public,01-01-70,,
106855-0,Nyololo,-8.46631,35.02615,Nyololo,Iringa Region,Mufindi District,Mufindi DC,Nyololo,Njojo,Health Center,,Private,06-06-07,,49
106856-8,Nyololo,-8.469749999999999,35.0033,Nyololo,Iringa Region,Mufindi District,Mufindi DC,Nyololo,Nyololo Shuleni,Dispensary,,Public,07-01-71,,10
106857-6,Nyombo,-9.201449,34.926208,Nyombo,Njombe Region,Njombe District,Njombe DC,Ikuna,Nyombo,Dispensary,,Public,01-01-70,,1
106858-4,Nyoni,-11.08342,34.90292,Nyoni Dispensary,Ruvuma Region,Mbinga District,Mbinga DC,Nyoni,Nyoni,Dispensary,,Public,01-01-70,,
106859-2,Nyota Njema,-6.61755,39.1206,Nyota njema,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Bunju,Bunju A,Maternity Home,,Private,,,
112548-3,Nyota Njema,,,,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Bunju,Kilungule,Dispensary,,Private,01-01-70,655976616,
112404-9,Nyota Njema,-10.75236,39.63405,Nyota Njema,Mtwara Region,Tandahimba District,Tandahimba DC,Tandahimba,Matogoro,Dispensary,,Private,10-05-18,784495939,2
112973-3,Nyota njema,,,,Mtwara Region,Tandahimba District,Tandahimba DC,Tandahimba,Matogoro,Level IA2 (Dispensary Laboratory),,Private,,,
103109-5,Nyota ya Bahari,-7.39906,39.3391,Kisiju mission,Pwani Region,Mkuranga District,Mkuranga DC,Kisiju,Kisiju Pwani,Health Center,,Private,,,
106860-0,Nyugwa,-3.218662,32.73852,Nyungwa,Geita Region,Nyang'hwale District,Nyang'hwale DC,Nyugwa,Nyugwa,Dispensary,,Public,09-04-79,,
106862-6,Nyumba ya Mungu,-3.82192,37.4625,Nyumba ya Mungu,Manyara Region,Simanjiro District,Simanjiro DC,Ngorika,Nyumba ya Mungu,Dispensary,,Public,,027-2552292,6
111190-5,Nyumba ya Mungu par,-3.820963,37.46202,,Manyara Region,Simanjiro District,Simanjiro DC,Ngorika,,Dispensary,,Public,,,
109301-2,Nyumbani,-3.00227,31.92946,Nyumbani,Geita Region,Geita District,Geita DC,Ludete,Stamico,Dispensary,,Private,01-01-70,2.55767E+11,5
112631-7,Nyumbani,-6.80016,39.06252,Nyumbani polyclinic,Dar es Salaam Region,Ubungo District,Ubungo MC,Kimara,Mavurunza,Specialized Polyclinic,,Private,02-11-19,2.55758E+11,
106863-4,Nyumbanitu,-9.247310000000001,34.675343,Zahanati ya Nyumbanitu,Njombe Region,Wanging'ombe District,Wanging'ombe DC,Igima,,Dispensary,,Public,07-01-08,,6
106864-2,Nyumbigwa,-4.66369,30.1218,Zahanati ya Nyumbigwa,Kigoma Region,Kasulu District,Kasulu TC,Nyumbigwa,Nyumbigwa,Dispensary,,Public,05-05-99,,2
106865-9,Nyumbu,Not Set,Not Set,,Pwani Region,Kibaha District,Kibaha TC,Mkuza,Mkuza,Health Center,,Public,,,36
106866-7,Nyundo,-10.601477,39.672992,Nyundo,Mtwara Region,Mtwara District,Nanyamba TC,Nitekela,Nyundo,Dispensary,,Public,,788808999,
113948-4,Nywelo,,,Nywelo,Tanga Region,Lushoto District,Lushoto DC,Manolo,Shume- Nywelo,Dispensary,,Public,,,1
106867-5,Nzaga,-6.35989,31.3235,Nzaga Dispesary,Katavi Region,Mlele District,Nsimbo DC,Litapunga,Nzaga,Dispensary,,Public,01-01-70,,
106868-3,Nzasa,-5.97643,35.86652,Nzasa,Dodoma Region,Dodoma District,Dodoma MC,Chihanga,Nzasa,Dispensary,,Public,08-01-11,,1
106869-1,Nzega,-4.21693,33.1785,Hospitali ya Wilaya,Tabora Region,Nzega District,Nzega DC,Isanzu,Shilla,District Hospital,,Public,07-01-58,262692308,170
120464-3,NZEGA HEALTHCARE,-4.21854,33.1883,NZEGA HEALTHCARE POLYCLINIC,Tabora Region,Nzega District,Nzega TC,Nzega Mjini,Singida Road,Poly Clinic,,Private,03-05-21,763573764,
106871-7,Nzera,-2.57685,32.1282,Nzera,Geita Region,Geita District,Geita DC,Nzera,Nzera,District Hospital,,Public,01-01-70,2.25283E+11,96
106872-5,Nzigala,-5.13627,33.18409,Nzigala,Tabora Region,Uyui District,Uyui DC,Kigwa,Nzigala,Dispensary,,Public,,,1
106873-3,Nzihi,-7.72309,35.53152,Nzihi,Iringa Region,Iringa District,Iringa DC,Nzihi,Nzihi,Health Center,,Public,10-11-13,262702828,12
110984-2,Nzivi,,,,Iringa Region,Mufindi District,Mufindi DC,Igowole,Nzivi,Dispensary,,Public,01-01-70,,2
108733-7,Nzoka,-8.769121,32.204679,Nzoka,Songwe Region,Momba District,Momba DC,Nzoka,Nzoka,Dispensary,,Public,01-01-70,766983210,
113699-3,Nzovwe,-8.93271,33.43637,Nzovwe Hospital,Mbeya Region,Mbeya District,Mbeya CC,Nzovwe,Halengo,Health Center,,Public,12-05-19,,4
106875-8,Nzubuka,-4.73894,32.8328,Nzubuka,Tabora Region,Uyui District,Uyui DC,Ikongolo,Nzubuka,Dispensary,,Private,,,4
106876-6,Nzugilo,-7.230164,36.431451,,Dodoma Region,Mpwapwa District,Mpwapwa DC,Malolo,Nzugilo,Dispensary,,Public,,,1
106877-4,Nzuguni,-6.12464,35.83468,Nzuguni,Dodoma Region,Dodoma District,Dodoma MC,Nzuguni,Nzuguni,Dispensary,,Private,01-10-97,684865637,
111895-9,Nzumi,-8.25657,31.99129,Nzumi,Rukwa Region,Sumbawanga District,Sumbawanga DC,Ilemba,,Dispensary,,Private,,,4
113814-8,Nzumo,-6.388531,37.34204,,Morogoro Region,Kilosa District,Kilosa DC,Dumila,Dumila,Dispensary,,Private,06-04-19,,
111394-3,Nzunda,-9.08558,33.55738,Nzunda,Mbeya Region,Rungwe District,Rungwe DC,Isongole,Ntokela,Dispensary,,Public,01-01-70,,2
111956-9,Nzunduka,-3.380125,36.659857,,Arusha Region,Arusha District,Arusha CC,Sombetini,Kirika A,Level IA2 (Dispensary Laboratory),,Private,,,
114368-4,O.T Classic,,,,Mwanza Region,Ilemela District,Ilemela MC,Kitangiri,Medical Research,Level IA2 (Dispensary Laboratory),,Private,,765017231,
115016-8,Oasis,,,Oasis Dental Clinic,Manyara Region,Babati District,Babati TC,Babati,Majengo Mapya,Basic Dental Clinic,,Private,03-09-20,785709070,
112344-7,Oasis Health Polyclinic,-6.771,39.2365,Oasis Health Polyclinic,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Kijitonyama,Kijitonyama,Medical Clinic,,Private,04-02-18,687522222,4
113494-9,OB,-6.659413,39.182777,,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Kunduchi,,Level IA2 (Dispensary Laboratory),,Private,,,
114331-2,Obama,,,,Dar es Salaam Region,Kigamboni District,Kigamboni MC,Kigamboni,Kigamboni,Level IA2 (Dispensary Laboratory),,Private,,714386603,
106880-8,Ocean Road Cancer Institute (ORCI),-6.810666,39.296125,Ocean road,Dar es Salaam Region,Ilala District,Ilala MC,Kivukoni,Kivukoni,National Super Specialized Hospital,,Public,01-01-60,222127597,150
106881-6,Ochuna,-1.41243,34.1502,Ochuna,Mara Region,Rorya District,Rorya DC,Nyathorogo,Ochuna,Dispensary,,Public,01-01-70,,3
106885-7,Okaoni,-3.2143,37.29393,,Kilimanjaro Region,Moshi District,Moshi DC,Okaoni,Sisamaro,Dispensary,,Public,08-04-68,,2
106886-5,Okoa,,,,Arusha Region,Arusha District,Arusha CC,,,Dispensary,,Private,,,
106887-3,Olarashi,-3.31283,36.47554,Olarash,Arusha Region,Monduli District,Monduli DC,Engutoto,Olarash,Dispensary,,Public,06-03-10,759666287,1
110831-5,Olasiti Amani Cogi,-3.41753,36.65603,Olasiti Amani Cogi Dispensary,Arusha Region,Arusha District,Arusha CC,Olasiti,Olkeriani,Dispensary,,Private,01-01-70,65368734,4
110569-1,Olasiti SDA,-3.40172,36.64686,,Arusha Region,Arusha District,Arusha CC,Olasiti,Olasiti centre,Dispensary,,Private,,,
106889-9,Olbalbal,-2.98524,35.50588,,Arusha Region,Ngorongoro District,Ngorongoro DC,Olbalbal,Meshili,Dispensary,,Public,01-01-70,,
113858-5,Olchoronyokie,,,,Arusha Region,Longido District,Longido DC,Eleng'ata Dapash,Olchoroonyokie,Dispensary,Foundation,Public,,,
106890-7,Olchoronyori,-3.72611,37.2574,Olchoronyori,Manyara Region,Simanjiro District,Simanjiro DC,Msitu wa Tembo,Olchoronyori,Dispensary,,Public,,027-2552292,2
110712-7,Olchorovosi,-3.35641,36.66751,Olchorovosi,Arusha Region,Arusha District,Arusha DC,Mussa,Olchorovus,Dispensary,,Public,07-09-19,,
106891-5,Old Arusha,-3.37439,36.69686,,Arusha Region,Arusha District,Arusha CC,Themi,Corridor,Health Center,,Private,08-01-11,2502134,14
106892-3,Old Camp (JWTZ),Not Set,Not Set,Old camp,Lindi Region,Nachingwea District,Nachingwea DC,Nambambo,Uhindini,Dispensary,,Public,07-01-70,,
106893-1,Old Maswa,-2.68237,33.9943,,Simiyu Region,Bariadi District,Bariadi TC,Nyakabindi,Nyakabindi,Dispensary,,Private,07-01-82,,22
106895-6,Old Moshi Sec School,-3.332779,37.337394,Old Moshi,Kilimanjaro Region,Moshi District,Moshi MC,Rau,Sabasaba,Medical Clinic,,Public,,,3
106896-4,Old Shinyanga,-3.5682,33.41178,old shinyanga,Shinyanga Region,Shinyanga District,Shinyanga MC,Old Shinyanga,Old Shinyanga,Dispensary,,Public,07-02-02,,5
106897-2,Old Shinyanga JWTZ,Not Set,Not Set,Old Shy Jwtz,Shinyanga Region,Shinyanga District,Shinyanga MC,Old Shinyanga,Old Shinyanga,Dispensary,,Public,07-02-70,,4
106898-0,Oldadai,-3.356071,36.73511,,Arusha Region,Arusha District,Arusha DC,Sokon II,Oldadai,Dispensary,,Public,01-01-70,,3
106899-8,Oldeani,-3.348367,35.554879,Oldean,Arusha Region,Karatu District,Karatu DC,Oldean,Oldean,Health Center,,Public,07-01-06,,26
106900-4,Oldonyo Sambu,-3.15592,36.68288,,Arusha Region,Arusha District,Arusha DC,Oldonyosambu,Lemong'o,Health Center,,Public,01-01-70,,10
109698-1,Oldonyosambu,-2.18099,35.83075,Oldonyo,Arusha Region,Ngorongoro District,Ngorongoro DC,Oldonyosambu,Oldonyosambu,Dispensary,,Public,09-07-91,,
106903-8,Oldonyosapuk,-3.3292,36.7094,,Arusha Region,Arusha District,Arusha DC,Oltoroto,Oldonyo Sapuk,Dispensary,,Public,01-01-70,,3
106904-6,Oldonyowasi,-3.16025,36.703,Sura,Arusha Region,Arusha District,Arusha DC,Oldonyosambu,Oldonyowas,Dispensary,,Public,10-07-12,,9
111971-8,Olekereto,-2.06595,35.55827,,Arusha Region,Ngorongoro District,Ngorongoro DC,Oloirien,Oloirien Magaiduru,Level IA2 (Dispensary Laboratory),,Private,,786810558,
106905-3,Olele,-3.123559,37.606701,Olele Dispensary,Kilimanjaro Region,Rombo District,Rombo DC,Olele,Kilema,Dispensary,,Public,07-01-80,272757585,4
106906-1,Olgilai,-3.34238,36.72191,,Arusha Region,Arusha District,Arusha DC,Oltoroto,Olgilai,Dispensary,,Public,08-10-65,,6
109720-3,Oljoro,Not Set,Not Set,Oljoro JKT,Arusha Region,Arusha District,Arusha DC,Oljoro,Oljoro,Dispensary,,Public,08-10-98,,24
106883-2,Oljoro 5,-3.83709,36.6345,Oljoro No.5,Manyara Region,Simanjiro District,Simanjiro DC,Oljoro No. 5,Olborkishu,Dispensary,,Public,,,2
110724-2,Oljoro Road,-3.38639,36.66012,Oljoro Road,Arusha Region,Arusha District,Arusha CC,Sombetini,Simanjiro,Dispensary,,Private,09-07-97,,2
106910-3,Olkereyan,-3.43613,36.72062,,Arusha Region,Arusha District,Arusha CC,Moshono,Olkeriyan,Dispensary,,Public,09-09-05,,1
106911-1,Olkitikiti,-5.51656,37.11734,Olkitikiti,Manyara Region,Kiteto District,Kiteto DC,Lengatei,Olkitikit,Dispensary,,Public,05-01-15,,2
106913-7,Olkokola,-3.24666,36.64528,Olkokola,Arusha Region,Arusha District,Arusha DC,Olkokola,Olkokola,Health Center,,Public,01-01-70,,24
106914-5,Olkokola RC,-3.26578,36.616,MAMSA,Arusha Region,Arusha District,Arusha DC,Olkokola,Lemanyata,Dispensary,,Private,01-01-70,,1
106915-2,Olmolog,-2.866747,37.126403,Olmolog,Arusha Region,Longido District,Longido DC,Olmolog,,Dispensary,,Public,07-01-78,NA,2
112378-5,Olmoti,-3.426427,36.593784,Olmoti,Arusha Region,Arusha District,Arusha CC,Olasiti,Mateves,Dispensary,,Public,01-01-70,,5
106916-0,Olmoti,-2.886272,37.074405,,Arusha Region,Longido District,Longido DC,Olmolog,Elerai,Health Center,,Public,06-11-12,,30
106918-6,Oloipiri,-2.04423,35.43752,,Arusha Region,Ngorongoro District,Ngorongoro DC,Oloipiri,Oloipiri,Dispensary,,Public,05-12-01,,
106919-4,Oloirobi,-3.209,35.45956,,Arusha Region,Ngorongoro District,Ngorongoro DC,Ngorongoro,Oloirobi,Dispensary,,Public,01-01-70,,2
106920-2,Ololoswakwan,-1.87667,35.33267,Ololosokwan,Arusha Region,Ngorongoro District,Ngorongoro DC,Ololosokwan,,Dispensary,,Public,01-01-70,,
110725-9,Olorien Community,-3.387747,36.711604,Olorien Community,Arusha Region,Arusha District,Arusha CC,Oloirien,Moivoi,Dispensary,,Private,06-02-09,,4
109980-3,Olorieni,-3.385231,36.714165,Olorien,Arusha Region,Arusha District,Arusha CC,Oloirien,Suye,Dispensary,,Public,01-01-70,755951141,6
106884-0,Olpiro,-3.344087,35.280524,,Arusha Region,Ngorongoro District,Ngorongoro DC,Enduleni,Olpiro,Dispensary,,Public,05-05-15,,
106922-8,Oltrument,-3.30344,36.60487,Ekenywa Hospital,Arusha Region,Arusha District,Arusha DC,Oltrumet,Ekenywa,District Hospital,,Public,07-11-74,2552172203,52
106923-6,Oltukai,-3.63478,35.9188,Oltukai,Arusha Region,Monduli District,Monduli DC,Esilalei,Oltukai,Dispensary,,Public,09-05-02,95834373,4
114436-9,Olympus,,,,Mwanza Region,Ukerewe District,Ukerewe DC,Kagera,Mviringo,Level IA2 (Dispensary Laboratory),,Private,,713359222,
115095-2,Omahe,,,Omahe Dispensary,Mara Region,Serengeti District,Serengeti DC,Natta,Makundusi,Dispensary,Foundation,Public,06-12-19,,
114716-4,Ombeni,,,Ombeni Dispensary,Lindi Region,Nachingwea District,Nachingwea DC,Lionja,Lionja'A',Dispensary,,Private,01-01-70,,7
106925-1,Omega,-8.92933,33.3821,,Mbeya Region,Mbeya District,Mbeya CC,Iwambi,,Dispensary,,Public,,,
106926-9,Omega,-1.50443,33.8035,Omega Hospital,Mara Region,Musoma District,Musoma MC,Kitaji,Kitaji 'C',Hospital at District Level,,Private,05-01-17,754398218,76
